base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
7,SMA_N150_th5_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.15678947466620818,0.804112893235352,0.36385198213233855,0.4309155435882206,1.123357122488688,0.20828472154276362,43,12,0.8717159315415725,-0.022748824552133673,0.08538153843770652,3.7532285785596056
7,SMA_N150_th5_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.15430818218476694,0.8170527694345484,0.3337328259476453,0.46237040586763917,1.1451972653839884,0.20035635676651226,39,10,0.8343369098338204,-0.025230117033574917,0.11550069462239976,4.577889768354918
7,SMA_N150_th5_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.15310684559121013,0.7846686305987057,0.39521530386400194,0.38740110540834705,1.0942891689423773,0.2097897462313125,35,3,0.8689510572795855,-0.02643145362713173,0.05401821670604312,2.043709644882858
7,SMA_N150_th5_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.1481223411906043,0.7869359192997744,0.39521530386400194,0.3747889814549663,1.099717116847136,0.20149576326041208,35,3,0.8293993134736778,-0.031415958027737556,0.05401821670604312,1.7194515175488119
8,SMA_N200_th2_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.14853535612973734,0.7809204389039818,0.43761113130049967,0.33942316706688336,1.0958031587748687,0.20417621396538968,66,14,0.8676051759831874,-0.02385931230103755,-0.013644765792646507,-0.5718842865413665
8,SMA_N200_th2_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.1475049568500304,0.8053659156131572,0.4436909981770698,0.33244973969736386,1.1326059043075116,0.19444707554142246,68,12,0.8223204023445448,-0.02488971158074449,-0.019724632669216646,-0.7924813674609343
8,SMA_N200_th2_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.1362787101059122,0.7311861868523009,0.39492648231345395,0.3450736180253101,1.0165231981028966,0.20312372047195132,64,6,0.856661342666662,-0.036115958324862696,0.029039883194399208,0.8040734495589384
8,SMA_N200_th2_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.14293270293415272,0.7813389199398474,0.40795077459567386,0.35036752430686147,1.0921523167663547,0.19563589598783493,60,4,0.8238062311232104,-0.029461965496622167,0.0160155909121793,0.5436022560686081
9,EMA_N150_th5_bL3_sL-1,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1419915467898789,0.5807294793425678,0.5966513259346227,0.2379807780825035,0.8162165841392631,0.31395041366777565,68,38,0.8180396014088144,-0.10251275397789161,0.02598015978141266,0.25343343899448517
9,EMA_N150_th5_bL3_sL-1,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.13557402435022037,0.5743449157640692,0.5225429442010336,0.25945049273895104,0.8049903298628992,0.30044625799711905,66,36,0.7808473468128688,-0.10893027641755015,0.10008854151500168,0.918831245147525
