rank,cfg_id,final_ratio_vs_spy,strat_mdd,mdd_date,ratio_at_mdd,bench_dd_at_mdd,days_below_spy_total,pct_below_spy_total,days_below_spy_excl_warmup,pct_below_spy_excl_warmup,longest_underperf_bars,longest_underperf_years,longest_underperf_start,longest_underperf_end,worst_ratio,worst_ratio_date,post_mdd_ever_below_spy,post_mdd_pct_below_spy
11,EMA_N100_th5_bL3_sL-1,53.99731940171098,-0.6861763413639861,2023-03-13,38.917566023258836,-0.1792768210309008,352,0.03467980295566502,270,0.026865671641791045,243,0.9642857142857143,1986-01-31,1987-01-16,0.742851960165448,1986-09-29,False,0.0
12,SMA_N200_th0_bL3_sL0,39.047149951888095,-0.7028933266986126,2003-04-16,5.211222623373816,-0.39984549783987455,240,0.023645320197044337,58,0.005829145728643216,238,0.9444444444444444,1986-01-31,1987-01-09,0.8124559484258502,1986-09-04,False,0.0
13,SMA_N100_th5_bL3_sL0,45.927486372342536,-0.7362974648123558,2003-04-25,3.029855314708412,-0.38636650002338946,248,0.024433497536945813,166,0.016517412935323383,243,0.9642857142857143,1986-01-31,1987-01-16,0.742851960165448,1986-09-29,False,0.0
14,SMA_N150_th5_bL3_sL-1,35.649631258081754,-0.6726198209544081,2020-06-11,20.872748261711255,-0.10579152076736675,264,0.026009852216748768,132,0.0132,243,0.9642857142857143,1986-01-31,1987-01-16,0.730176693434389,1986-09-29,False,0.0
15,EMA_N200_th0_bL3_sL0,23.128023617412538,-0.6616901961453183,2003-04-25,6.62169541385054,-0.38636650002338946,310,0.030541871921182268,128,0.012864321608040201,238,0.9444444444444444,1986-01-31,1987-01-09,0.8124559484258502,1986-09-04,False,0.0
16,SMA_N200_th5_bL2_sL0,6.8063694435060675,-0.633011821543756,1988-08-22,0.5281028891050524,-0.20966749550953134,2289,0.22551724137931034,2096,0.21088640708320758,1952,7.746031746031746,1987-10-16,1995-07-06,0.5281028891050524,1988-08-22,True,0.1836971422545608
17,SMA_N100_th5_bL2_sL0,4.8552031843288965,-0.5623616119448593,2003-04-25,1.4443550252524602,-0.38636650002338946,368,0.03625615763546798,286,0.02845771144278607,274,1.0873015873015872,1986-01-31,1987-03-03,0.7973749648433014,1986-09-29,False,0.0
18,EMA_N150_th5_bL2_sL-1,5.374269911628459,-0.5013878784016819,2020-06-11,3.6046893073272654,-0.10579152076736675,1004,0.09891625615763547,872,0.0872,348,1.380952380952381,1986-01-31,1987-06-17,0.7553431898326537,1986-09-29,False,0.0
19,EMA_N200_th5_bL2_sL0,6.456426302901819,-0.6364952410973888,1988-08-22,0.5322666476301283,-0.20966749550953134,2231,0.21980295566502464,2040,0.20521074338597728,1921,7.623015873015873,1987-10-16,1995-05-22,0.5322666476301283,1988-08-22,True,0.18021723083412422
20,SMA_N200_th0_bL2_sL0,3.873697801575032,-0.5417797151725168,2003-04-16,1.9589796830647668,-0.39984549783987455,266,0.02620689655172414,84,0.008442211055276382,255,1.0119047619047619,1986-01-31,1987-02-03,0.8124559484258502,1986-09-04,False,0.0
