base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
4,SMA_N200_th2_bL3_sL0,cape,0.5,0.22086485656523624,0.820906524532811,0.5530220793166759,0.3993780082671217,1.1506732285706152,0.29752660002993114,56,0.8408889370539959,-0.026231859127606727,0.02258144201199841,0.860840320243769
4,SMA_N200_th2_bL3_sL0,cape,0.7,0.2066072679939801,0.8153169021897803,0.5504827464963035,0.37532015182853234,1.1449204959916306,0.27827713228548473,56,0.7772445118755944,-0.04048944769886287,0.02512077483237085,0.6204276980808597
4,SMA_N200_th2_bL3_sL0,vix,0.0,0.24709671569284297,0.7915244722309769,0.5756035213286743,0.4292828423329758,1.1062814262138925,0.36339397154626896,56,1.0,0.0,0.0,0.0
4,SMA_N200_th2_bL3_sL0,vix,0.3,0.2336753306696444,0.7964835616024907,0.5244737172199039,0.44554249907563603,1.1144520233029518,0.3346028016904654,56,0.9574509602101033,-0.013421385023198562,0.05112980410877044,3.809577329045678
4,SMA_N200_th2_bL3_sL0,vix,0.5,0.22316707870156738,0.793880739219322,0.5134389614771461,0.43465162452713646,1.1117168622296831,0.3179561175764999,56,0.9290849336835056,-0.023929636991275594,0.062164559851528245,2.597806221389508
4,SMA_N200_th2_bL3_sL0,vix,0.7,0.21147343763385495,0.7846490056015614,0.5072341639774689,0.41691481499508876,1.0997100642571618,0.3037445308766565,56,0.9007189071569078,-0.03562327805898802,0.06836935735120542,1.9192326219387696
4,SMA_N200_th2_bL3_sL0,composite,0.0,0.24709671569284297,0.7915244722309769,0.5756035213286743,0.4292828423329758,1.1062814262138925,0.36339397154626896,56,1.0,0.0,0.0,0.0
4,SMA_N200_th2_bL3_sL0,composite,0.3,0.232827774599488,0.7991201315665807,0.5287653535816613,0.44032343084205233,1.1172347185184726,0.33131469379252754,56,0.929759341312438,-0.01426894109335497,0.04683816774701299,3.282525832896281
4,SMA_N200_th2_bL3_sL0,composite,0.5,0.22213280671855617,0.8015099189908629,0.5075982129524851,0.43761542308532403,1.1208836178717525,0.3113002711721099,56,0.8829322355207297,-0.024963908974286797,0.06800530837618923,2.724145022569812
4,SMA_N200_th2_bL3_sL0,composite,0.7,0.2105314058569958,0.8004851494642483,0.5036099071016354,0.41804460732045856,1.1198394153859286,0.2926478632631017,56,0.8361051297290216,-0.03656530983584716,0.07199361422703887,1.9689048048612248
