base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
12,EMA_N100_th5_bL1_sL0,cape,0.0,0.08784372585063949,0.7747612524040447,0.28267161828611304,0.3107624542684943,1.0584367843416684,0.11763101122110306,18,1.0,0.0,0.0,0.0
12,EMA_N100_th5_bL1_sL0,cape,0.3,0.07801883603043547,0.7560554645083504,0.2576986141835239,0.30275225296661157,1.0325639076095332,0.10694584428273543,18,0.8846493072115466,-0.009824889820204019,0.024973004102589125,2.541810092489215
12,EMA_N100_th5_bL1_sL0,cape,0.5,0.07132534091313514,0.7329432074190217,0.24073694409182037,0.2962791655522996,1.0009809543012755,0.10096873740666684,18,0.8077488453525775,-0.01651838493750435,0.04193467419429267,2.53866672516401
12,EMA_N100_th5_bL1_sL0,cape,0.7,0.06452034517493965,0.6986792761941495,0.2235248495919744,0.2886495407231726,0.9543856329700429,0.09611235483775984,18,0.7308483834936085,-0.023323380675699834,0.059146768694138624,2.535943202940664
12,EMA_N100_th5_bL1_sL0,vix,0.0,0.08784372585063949,0.7747612524040447,0.28267161828611304,0.3107624542684943,1.0584367843416684,0.11763101122110306,18,1.0,0.0,0.0,0.0
12,EMA_N100_th5_bL1_sL0,vix,0.3,0.08298414615107119,0.7717107054211989,0.27181087566203693,0.305301051508519,1.056200979894866,0.11135432136115046,18,0.9715772400391265,-0.004859579699568295,0.010860742624076103,2.234913983413201
12,EMA_N100_th5_bL1_sL0,vix,0.5,0.0796765401275572,0.7660987854280916,0.2645121548848312,0.30122071389214017,1.049793681549855,0.10764265000885302,18,0.9526287333985443,-0.008167185723082282,0.018159463401281828,2.2234664445010903
12,EMA_N100_th5_bL1_sL0,vix,0.7,0.0763155445381769,0.7569837915513964,0.2571669384876106,0.2967548822060326,1.0385079907573145,0.10435690414569547,18,0.933680226757962,-0.011528181312462582,0.02550467979850246,2.212376706023051
12,EMA_N100_th5_bL1_sL0,composite,0.0,0.08784372585063949,0.7747612524040447,0.28267161828611304,0.3107624542684943,1.0584367843416684,0.11763101122110306,18,1.0,0.0,0.0,0.0
12,EMA_N100_th5_bL1_sL0,composite,0.3,0.0815308410089044,0.7686415573281011,0.2635808911845064,0.30931999904284746,1.0511732481024552,0.10983332287909586,18,0.9337881051582932,-0.006312884841735089,0.01909072710160664,3.0240892365715286
