rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
45,EMA_N50_th2_bL2_sL0,EMA,50,0.02,2.0,0.0,SSO,0.11210363792480038,0.5891303675657494,0.4264032007108173,0.2629052449370051,0.8046525898114802,0.22274521830453492,74,0.08577605164219193,0.47588877154842235,0.45317767289655553,0.1892768703584644,0.6375314871718686,0.22810825147652744,74,0.02632758628260845,0.8692708333333333,True,False,False,True,True,False,True,4
46,EMA_N50_th2_bL3_sL0,EMA,50,0.02,3.0,0.0,UPRO,0.1502890840741633,0.5879180360032281,0.5751316315393267,0.2613124993176223,0.8045069145791793,0.3340549014422527,74,0.11401719721402759,0.4896013426987983,0.6031953567384295,0.18902200744802844,0.659099668905501,0.3407491801547508,74,0.036271886860135716,0.8682291666666668,True,False,False,True,True,False,False,3
47,SMA_N100_th2_bL2_sL0,SMA,100,0.02,2.0,0.0,SSO,0.11581116293757376,0.6012262934186441,0.4965723321877399,0.23322113503051325,0.8125408595769974,0.22453704942188735,48,0.0915592709943005,0.4971423226883595,0.5354121137387072,0.17100709648676984,0.6593478776228849,0.23003901851575292,48,0.024251891943273263,0.8671875,True,False,False,True,True,False,True,4
48,EMA_N100_th0_bL1_sL0,EMA,100,0.0,1.0,0.0,SPY,0.06887017711638688,0.6424311741493619,0.22160073829530585,0.31078496238857406,0.869019767009824,0.113777152339744,176,0.04934211239282815,0.4651022449885608,0.24809264756003543,0.1988858310719908,0.6088348620671175,0.11882546162737172,176,0.019528064723558725,0.8661458333333334,True,False,False,True,True,False,True,4
49,EMA_N50_th2_bL1_sL0,EMA,50,0.02,1.0,0.0,SPY,0.06866360304197672,0.6475319315693197,0.23267016152573095,0.2951113395534529,0.8874132399227366,0.1123179174144662,74,0.053299599220400395,0.5062324033247876,0.2519359188169505,0.21156014382818664,0.6762815605872304,0.11589765259937036,74,0.015364003821576322,0.8640625000000001,True,False,False,True,True,False,True,4
50,EMA_N150_th0_bL2_sL0,EMA,150,0.0,2.0,0.0,SSO,0.11846363058641352,0.5992843665949739,0.5383468140849053,0.22005076929410425,0.8107921902728633,0.2321353391642607,146,0.08811273528326802,0.47435679541803494,0.5757735252648899,0.1530336693454791,0.6277420176535164,0.23884985990617907,146,0.030350895303145498,0.8609375000000001,True,False,False,True,True,False,True,4
51,EMA_N50_th0_bL3_sL0,EMA,50,0.0,3.0,0.0,UPRO,0.14873475674482517,0.5915731353575554,0.6011069015160825,0.24743478467755672,0.8062431664297551,0.32436251992977877,298,0.09228222460238533,0.4339194777231633,0.6195215450102249,0.14895724829208684,0.5781324264351965,0.3337184547570272,298,0.05645253214243984,0.859375,True,False,False,True,True,False,True,4
52,SMA_N50_th5_bL3_sL0,SMA,50,0.05,3.0,0.0,UPRO,0.1576375510846988,0.5965919984624863,0.6548685655945806,0.24071631983369599,0.8090750812519555,0.348397898623935,29,0.12983363129094383,0.5244864025060034,0.6896863008509939,0.18825026846371168,0.7014037155001172,0.3545531446345496,29,0.02780391979375496,0.8557291666666667,True,False,False,True,True,False,False,3
53,SMA_N100_th2_bL3_sL0,SMA,100,0.02,3.0,0.0,UPRO,0.1529848669495515,0.5931718251146638,0.6498976596792326,0.2353983964568508,0.8024854218332677,0.33692190392767624,48,0.12081019921894609,0.5066248439007343,0.6835894360239767,0.1767291781476692,0.6751470757482161,0.3434352533559934,48,0.0321746677306054,0.8552083333333335,True,False,False,True,True,False,False,3
54,EMA_N150_th0_bL3_sL0,EMA,150,0.0,3.0,0.0,UPRO,0.16045533284717473,0.6039130548764098,0.6859399357815932,0.23392038351629746,0.8184031647210179,0.3478670907241655,146,0.1195792829225244,0.4983235705625124,0.7174885962225113,0.16666367040827484,0.6634704289091787,0.3557690101740012,146,0.040876049924650326,0.8526041666666667,True,False,False,True,True,False,False,3
55,EMA_N50_th0_bL2_sL0,EMA,50,0.0,2.0,0.0,SSO,0.10381686183880778,0.5647698298756293,0.45782246723868236,0.22676226980508501,0.7674958924491241,0.21682052110797917,298,0.06448413834079236,0.39215060704769183,0.47587319964054287,0.13550697620605934,0.5195723397139564,0.2239537203188701,298,0.03933272349801542,0.8515625000000001,True,False,False,True,True,False,True,4
56,EMA_N150_th0_bL1_sL0,EMA,150,0.0,1.0,0.0,SPY,0.06931506477314353,0.6305476587773272,0.3305445366142699,0.20969962318279362,0.8544604853020744,0.11721074923491256,146,0.05130119146902645,0.4714916477229777,0.3650683352238193,0.14052490046164717,0.6196908875026722,0.12197738565923323,146,0.01801387330411708,0.8494791666666667,True,False,False,True,True,False,True,4
57,EMA_N200_th0_bL2_sL0,EMA,200,0.0,2.0,0.0,SSO,0.10934921995703006,0.5534159693499108,0.5068651013490051,0.21573633628750657,0.7482889095744601,0.23993297749616357,124,0.08096010773367857,0.4405950467997214,0.546281907081284,0.14820206688930687,0.5837068787884919,0.24631396674871228,124,0.028389112223351498,0.8447916666666667,True,False,False,True,True,False,True,4
58,SMA_N150_th2_bL3_sL-1,SMA,150,0.02,3.0,-1.0,UPRO,0.13651900852787358,0.5341667323100512,0.6308630091766039,0.2164004015801415,0.7312451474248728,0.366883989619277,34,0.10664316616244385,0.46072666102063203,0.6654751312961784,0.16025116664349237,0.6212145127640433,0.37362879864371856,34,0.029875842365429728,0.8406250000000001,True,False,False,True,True,False,False,3
