rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
21,EMA_N200_th2_bL2_sL0,EMA,200,0.02,2.0,0.0,0.15103445153520068,0.6961255765024867,0.48222969697344176,0.3132002290259588,0.968139787610018,0.24573761273920722,78,0.12640143401513937,0.6002019636789986,0.520662251793272,0.24277049772628195,0.8175960645181025,0.2516164479423861,78,0.024633017520061307,0.9057291666666667,True,False,False,True,True,True,True,5
22,SMA_N200_th2_bL3_sL-1,SMA,200,0.02,3.0,-1.0,0.20509456463627185,0.6761709379765579,0.6721102356759815,0.3051501877961968,0.9467698745203772,0.3887808019393687,56,0.17195109670595232,0.6020917129587732,0.7073220075919098,0.243101578715701,0.8322856704011146,0.3942909423277178,56,0.033143467930319526,0.9057291666666667,True,False,False,True,True,True,True,5
23,SMA_N200_th5_bL3_sL0,SMA,200,0.05,3.0,0.0,0.2347847963038625,0.7524981745454705,0.8138219722669143,0.28849650698157686,1.0216809073777804,0.38463938719327406,25,0.21151971128365488,0.6994688078736991,0.8138219722669143,0.25990906917204915,0.937676764833967,0.39075776082650754,25,0.023265085020207632,0.9020833333333333,True,True,False,True,True,True,True,6
24,EMA_N150_th5_bL1_sL0,EMA,150,0.05,1.0,0.0,0.09595031868094273,0.7980367297773072,0.21204906239102603,0.45249112445499484,1.1123070242445623,0.1245755881347385,25,0.0843163721775484,0.690048788843128,0.2811969521035099,0.2998481012927592,0.9293327139970802,0.129619684916473,25,0.011633946503394332,0.8999999999999999,True,True,False,True,True,True,True,6
25,EMA_N200_th5_bL3_sL0,EMA,200,0.05,3.0,0.0,0.2318726005337528,0.7436792819013845,0.8163016742556133,0.28405258478147527,1.0079748821836734,0.3876844845156104,25,0.20942078267279896,0.6928633153524941,0.8163016742556133,0.2565482704219247,0.9272823257269722,0.39386306321700987,25,0.02245181786095385,0.8979166666666667,True,True,False,True,True,True,True,6
26,EMA_N200_th0_bL2_sL0,EMA,200,0.0,2.0,0.0,0.14291245361186045,0.6697866642991925,0.5015622663986375,0.2849346196595156,0.9297114712572873,0.2442959200337158,276,0.11461690925106871,0.5590433380365624,0.5360781288014435,0.21380635227056868,0.7574552918019214,0.2512222696603808,276,0.028295544360791736,0.890625,True,False,False,True,True,True,True,5
27,EMA_N100_th5_bL1_sL0,EMA,100,0.05,1.0,0.0,0.09240036247827454,0.7880481434415199,0.27440831163191487,0.33672581536895396,1.1048612771271953,0.12155514779799582,32,0.07958657016078097,0.670066476760799,0.3053158005157014,0.26066967391256285,0.9082529302778432,0.12627639887424286,32,0.012813792317493577,0.8885416666666668,True,True,False,True,True,True,True,6
28,SMA_N150_th2_bL2_sL0,SMA,150,0.02,2.0,0.0,0.15472638757899393,0.7198746224806105,0.6916219331267149,0.22371527010356662,1.0053975406852962,0.2401807909970768,80,0.12874276219836767,0.6153559231877702,0.7019310956221938,0.18341225086238658,0.8387495315099238,0.24686390673711442,80,0.025983625380626263,0.8864583333333333,True,False,False,True,True,True,True,5
29,EMA_N150_th2_bL3_sL0,EMA,150,0.02,3.0,0.0,0.19944040327503987,0.6837390324487751,0.7739426328423745,0.2576940393405864,0.9475632094428075,0.3639330798646704,94,0.16546334425436693,0.6010125743965116,0.7858222371499645,0.21056078134728362,0.816941713846171,0.37213762611714474,94,0.03397705902067294,0.8854166666666667,True,False,False,True,True,True,True,5
30,SMA_N150_th2_bL3_sL0,SMA,150,0.02,3.0,0.0,0.22008815144839677,0.7342832400662378,0.8389195711461436,0.26234714151168187,1.0263945059082515,0.3601257031130932,80,0.18471396218783176,0.6474587127615739,0.8458003545804338,0.21838955397395243,0.8878249730748358,0.3678998099101036,80,0.035374189260565014,0.8848958333333334,True,True,False,True,True,True,True,6
