asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
QQQ,2003-04-22T00:00:00,23.1679209404,2003-05-16T00:00:00,24.2405880784,24,long,50000.0,0.04629967189371288,2314.983594685644,347.2475392028466,1967.7360554827976,129412.62406783742
QQQ,2003-05-27T00:00:00,24.5784359958,2003-06-24T00:00:00,25.0683154762,28,long,50000.0,0.019931271480565744,996.5635740282872,149.4845361042431,847.0790379240441,130259.70310576147
QQQ,2003-07-07T00:00:00,26.9349252202,2003-07-18T00:00:00,26.419707146,11,long,50000.0,-0.019128253373193297,-956.4126686596649,0.0,-956.4126686596649,129303.2904371018
QQQ,2003-08-19T00:00:00,27.3403427211,2003-09-24T00:00:00,28.0582695458,36,long,50000.0,0.026258881683510815,1312.9440841755409,196.94161262633114,1116.0024715492098,130419.292908651
QQQ,2003-12-29T00:00:00,30.7895877465,2004-01-27T00:00:00,31.8880088241,29,long,50000.0,0.03567508232470128,1783.7541162350637,267.5631174352595,1516.1909987998042,131935.4839074508
LETF_2x,2003-04-10T00:00:00,1.0,2004-03-19T00:00:00,1.6375691485732458,344,long,50000.0,0.6375691485732458,31878.45742866229,4781.768614299343,27096.688814362944,159032.17272181375
QQQ,2004-04-05T00:00:00,31.6429764299,2004-04-19T00:00:00,30.8656322826,14,long,50000.0,-0.024566088118230026,-1228.3044059115014,0.0,-1228.3044059115014,157803.86831590225
LETF_2x,2004-03-25T00:00:00,1.0,2004-04-29T00:00:00,1.0393697999934262,35,long,50000.0,0.03936979999342616,1968.489999671308,295.2734999506962,1673.2164997206119,159477.08481562286
LETF_2x,2004-05-03T00:00:00,1.0,2004-05-06T00:00:00,1.0149861985493274,3,long,50000.0,0.014986198549327368,749.3099274663683,112.39648911995525,636.913438346413,160113.99825396927
LETF_2x,2004-05-25T00:00:00,1.0,2004-07-07T00:00:00,1.0405922815681314,43,long,50000.0,0.04059228156813144,2029.614078406572,304.44211176098577,1725.171966645586,161839.17022061485
QQQ,2004-05-27T00:00:00,30.7726889607,2004-07-07T00:00:00,30.5023083877,41,long,50000.0,-0.008786381110383362,-439.3190555191681,0.0,-439.3190555191681,161399.8511650957
LETF_2x,2004-07-13T00:00:00,1.0,2004-07-13T00:00:00,1.001391736330741,0,long,50000.0,0.001391736330740967,69.58681653704835,10.438022480557253,59.1487940564911,161458.9999591522
LETF_2x,2004-08-25T00:00:00,1.0,2004-08-27T00:00:00,1.0198587450477772,2,long,50000.0,0.019858745047777182,992.9372523888591,148.94058785832885,843.9966645305302,162302.99662368273
LETF_2x,2004-08-31T00:00:00,1.0,2004-09-24T00:00:00,1.0239819689334044,24,long,50000.0,0.02398196893340443,1199.0984466702214,179.8647670005332,1019.2336796696882,163322.2303033524
QQQ,2004-09-02T00:00:00,29.3869885242,2004-09-24T00:00:00,29.40388731,22,long,50000.0,0.0005750431278824713,28.752156394123567,4.312823459118535,24.439332935005034,163346.6696362874
LETF_2x,2004-09-28T00:00:00,1.0,2004-10-13T00:00:00,1.0131535886400775,15,long,50000.0,0.01315358864007754,657.679432003877,98.65191480058154,559.0275172032955,163905.6971534907
LETF_2x,2004-10-18T00:00:00,1.0,2004-10-18T00:00:00,1.0075101645288578,0,long,50000.0,0.007510164528857777,375.5082264428888,56.32623396643332,319.1819924764555,164224.87914596716
QQQ,2004-10-01T00:00:00,30.5023083877,2005-01-03T00:00:00,33.6943286316,94,long,50000.0,0.10464848113551879,5232.42405677594,784.863608516391,4447.560448259549,168672.43959422671
LETF_2x,2004-10-26T00:00:00,1.0,2005-03-21T00:00:00,1.1735390941735382,146,long,50000.0,0.1735390941735382,8676.954708676909,1301.5432063015362,7375.411502375373,176047.8510966021
LETF_2x,2005-03-30T00:00:00,1.0,2005-03-31T00:00:00,1.024409979029614,1,long,50000.0,0.02440997902961395,1220.4989514806973,183.0748427221046,1037.4241087585926,177085.2752053607
LETF_2x,2005-04-05T00:00:00,1.0,2005-04-12T00:00:00,1.0178294343326564,7,long,50000.0,0.01782943433265638,891.471716632819,133.72075749492285,757.7509591378962,177843.0261644986
LETF_2x,2005-05-04T00:00:00,1.0,2005-05-05T00:00:00,1.0146660993463676,1,long,50000.0,0.014666099346367645,733.3049673183823,109.99574509775734,623.309222220625,178466.3353867192
LETF_2x,2005-05-09T00:00:00,1.0,2005-05-09T00:00:00,1.0124294271189285,0,long,50000.0,0.012429427118928471,621.4713559464235,93.22070339196353,528.25065255446,178994.58603927368
LETF_2x,2005-05-11T00:00:00,1.0,2005-05-11T00:00:00,1.0109380191926254,0,long,50000.0,0.010938019192625381,546.9009596312691,82.03514394469036,464.8658156865787,179459.45185496027
QQQ,2005-05-13T00:00:00,30.9142628828,2005-06-23T00:00:00,31.9245377685,41,long,50000.0,0.03267989566919591,1633.9947834597954,245.09921751896928,1388.8955659408261,180848.3474209011
QQQ,2005-07-12T00:00:00,32.7015190301,2005-08-05T00:00:00,33.7090331934,24,long,50000.0,0.030809399476906214,1540.4699738453107,231.0704960767966,1309.399477768514,182157.7468986696
QQQ,2005-09-12T00:00:00,33.9224895839,2005-09-20T00:00:00,33.2394291342,8,long,50000.0,-0.020135917442338586,-1006.7958721169293,0.0,-1006.7958721169293,181150.95102655268
LETF_2x,2005-05-17T00:00:00,1.0,2005-10-04T00:00:00,1.087488551747561,140,long,50000.0,0.08748855174756098,4374.427587378049,656.1641381067074,3718.2634492713414,184869.21447582403
QQQ,2005-11-02T00:00:00,33.5954743936,2005-12-16T00:00:00,35.5883886382,44,long,50000.0,0.05932091391987176,2966.0456959935877,444.90685439903814,2521.1388415945494,187390.35331741857
QQQ,2006-01-06T00:00:00,36.5298804011,2006-01-19T00:00:00,36.3929361447,13,long,50000.0,-0.003748828490439731,-187.44142452198656,0.0,-187.44142452198656,187202.91189289658
QQQ,2006-04-05T00:00:00,36.4955710537,2006-04-13T00:00:00,36.0587547843,8,long,50000.0,-0.011969021357612443,-598.4510678806222,0.0,-598.4510678806222,186604.46082501597
LETF_2x,2005-11-01T00:00:00,1.0,2006-05-16T00:00:00,1.1690017913919297,196,long,50000.0,0.16900179139192972,8450.089569596486,1267.513435439473,7182.576134157013,193787.03695917298
LETF_2x,2006-05-26T00:00:00,1.0,2006-05-26T00:00:00,1.0101380671638454,0,long,50000.0,0.010138067163845355,506.9033581922677,76.03550372884015,430.86785446342753,194217.9048136364
LETF_2x,2006-06-01T00:00:00,1.0,2006-06-02T00:00:00,1.0233305309468994,1,long,50000.0,0.023330530946899408,1166.5265473449704,174.97898210174554,991.5475652432249,195209.45237887965
LETF_2x,2006-06-29T00:00:00,1.0,2006-07-06T00:00:00,1.0429163673406616,7,long,50000.0,0.04291636734066162,2145.818367033081,321.8727550549621,1823.945611978119,197033.39799085777
LETF_2x,2006-07-10T00:00:00,1.0,2006-07-11T00:00:00,1.0125741521211955,1,long,50000.0,0.012574152121195503,628.7076060597751,94.30614090896627,534.4014651508088,197567.7994560086
QQQ,2006-08-15T00:00:00,32.3117885043,2006-12-21T00:00:00,37.2472993475,128,long,50000.0,0.1527464455439596,7637.322277197981,1145.598341579697,6491.723935618284,204059.5233916269
LETF_2x,2006-07-25T00:00:00,1.0,2007-02-26T00:00:00,1.3375506323566628,216,long,50000.0,0.3375506323566628,16877.53161783314,2531.629742674971,14345.90187515817,218405.42526678505
LETF_2x,2007-02-28T00:00:00,1.0,2007-03-01T00:00:00,1.0143391755975988,1,long,50000.0,0.014339175597598786,716.9587798799392,107.54381698199089,609.4149628979484,219014.840229683
QQQ,2007-01-11T00:00:00,38.7069676022,2007-03-02T00:00:00,36.4745338008,50,long,50000.0,-0.05767524401144546,-2883.7622005722733,0.0,-2883.7622005722733,216131.07802911074
