period,symbol,side,volume,entry_time,exit_time,entry_price,exit_price,pnl
train,SPY,long,359.6875046598255,2021-07-15T14:00:00,2021-07-19T14:00:00,407.283461975007,397.3155588699137,-3585.3301945619505
train,SPY,long,211.14127730123937,2021-07-19T15:00:00,2021-07-20T15:00:00,398.09313025874906,403.8687056951439,1219.4623747900678
train,SPY,long,368.67846830000514,2021-08-17T16:00:00,2021-08-20T14:00:00,413.16208904123704,414.2628678145346,405.8334320765093
train,SPY,long,443.31753871219496,2021-08-26T19:00:00,2021-08-27T14:00:00,418.080462283886,421.21885282918396,1391.3035720591176
train,SPY,long,551.6509007319205,2021-09-07T15:00:00,2021-09-09T14:00:00,422.7880481018316,423.3267270759448,297.1627412749073
train,SPY,long,450.5071031468228,2021-09-10T19:00:00,2021-09-15T16:00:00,417.3544167099228,418.680035402961,597.2006372779015
train,SPY,long,205.1939320786426,2021-09-20T14:00:00,2021-09-22T14:00:00,408.06547493386876,411.63225901255976,731.882449982105
train,SPY,long,189.71461025200776,2021-09-28T14:00:00,2021-10-01T17:00:00,409.4705716921039,407.23839456771896,-423.47661316613227
train,SPY,long,246.71769590134073,2021-10-12T14:00:00,2021-10-14T14:00:00,407.9432926070534,414.69621582320167,1666.065656486767
train,SPY,long,442.5004982727936,2021-11-10T18:00:00,2021-11-12T16:00:00,436.32248766806384,439.03399545910764,1199.8435486074436
train,SPY,long,262.96743199411253,2021-11-23T15:00:00,2021-11-24T19:00:00,437.1166727923191,440.4390922173641,873.6881042114353
train,SPY,long,172.1127197277342,2021-11-26T15:00:00,2021-11-29T16:00:00,432.5630314585984,436.56215300140207,688.299685253711
train,SPY,long,143.2378281971369,2021-12-01T20:00:00,2021-12-06T15:00:00,423.3993569480764,430.7584924780903,1054.1065907275813
train,SPY,long,209.00525674423616,2021-12-14T15:00:00,2021-12-15T20:00:00,433.8976384129863,442.2953237208382,1755.1603738248925
train,SPY,long,170.37573727502104,2021-12-20T15:00:00,2021-12-21T17:00:00,426.2567916951732,435.61807654905914,1594.9358088223037
train,SPY,long,379.4744502269515,2021-12-31T15:00:00,2022-01-03T18:00:00,448.7757514821995,449.65292981101743,332.8667640791814
train,SPY,long,339.73340419426233,2022-01-05T19:00:00,2022-01-10T15:00:00,444.9227692526938,431.7745263445762,-4466.897322347858
train,SPY,long,229.24892748143827,2022-01-14T15:00:00,2022-01-19T20:00:00,436.3820705774181,426.1577554322916,-2343.9132812524817
train,SPY,long,156.93381904165022,2022-01-20T20:00:00,2022-01-24T15:00:00,421.29083051072513,404.45466581144836,-2642.163624271719
train,SPY,long,145.6056634620915,2022-01-24T16:00:00,2022-01-25T19:00:00,401.60619424886687,414.62238880632987,1895.2316442910642
train,SPY,long,202.90715612189152,2022-02-11T18:00:00,2022-02-15T16:00:00,416.6361261526699,420.28160383127533,739.6935084716687
train,SPY,long,192.99717715211122,2022-02-18T15:00:00,2022-02-23T18:00:00,410.71281442656164,402.00233930054674,-1681.0971109745558
train,SPY,long,223.01716583296354,2022-02-23T20:00:00,2022-02-24T20:00:00,398.0786168832166,403.6906717830502,1251.5845782598844
train,SPY,long,143.61954633318663,2022-03-07T15:00:00,2022-03-08T20:00:00,401.3232334975453,392.66463450935,-1243.544058565599
train,SPY,long,139.63082852281227,2022-03-14T16:00:00,2022-03-15T15:00:00,394.17375851599104,398.48890997254847,602.5281730805341
