base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
6,EMA_N150_th5_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.2679776482085212,0.8470757589866759,0.5592605826208562,0.47916419739918154,1.1736667046116966,0.35573855262061466,45,23,0.8060796940712135,-0.0565579256596227,0.0035300599855080383,0.06241494793767137
6,EMA_N150_th5_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.26858878286203036,0.8398816138721118,0.5592605826208562,0.4802569521408892,1.15957869141561,0.36229358997853334,47,24,0.818709339342742,-0.05594679100611355,0.0035300599855080383,0.06309673748977476
6,EMA_N150_th5_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.25056975561578576,0.7743552531026804,0.5627906426063642,0.44522729527868704,1.0619742943752781,0.386270589378806,24,10,0.8546766371634587,-0.07396581825235815,0.0,0.0
6,EMA_N150_th5_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.19553524548113188,0.6509650508744229,0.5627906426063642,0.34743869332222743,0.8827923074751288,0.39735004234426874,28,13,0.875610645587371,-0.12900032838701203,0.0,0.0
7,SMA_N150_th2_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.18534855748255197,0.7959716508745035,0.3325727687885959,0.5573172997828068,1.0984421358662237,0.254614647265414,44,11,0.8684497364266697,-0.033906819402476085,0.07449486517649478,2.1970466852769657
7,SMA_N150_th2_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.18483694135254347,0.7872089765595426,0.3425840535365365,0.5395374928997699,1.0839798264309242,0.2580714045771054,46,13,0.8771809856517885,-0.03441843553248458,0.06448358042855418,1.8735186370598893
7,SMA_N150_th2_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.19764039007509604,0.8273959585357501,0.34086295722675153,0.5798236091216569,1.1432800136967036,0.2586998707666572,36,3,0.890202041482833,-0.021614986809932013,0.06620467673833913,3.062906182663887
7,SMA_N150_th2_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.19827533128840868,0.8035186435741742,0.45944156309204,0.4315572364720694,1.1049857610718121,0.2713218165263208,34,4,0.9061552791813285,-0.020980045596619368,-0.052373929126949326,-2.496368698807243
8,SMA_N150_th2_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.24436715346977533,0.7920623198652083,0.5349862692585299,0.45677275756714036,1.0931772859523647,0.3575555147751115,54,23,0.8178255276082359,-0.053118193608659325,0.0179709522787318,0.3383200944506926
8,SMA_N150_th2_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.2665702492431734,0.8331293505052869,0.5349862692585299,0.4982749363130934,1.1515867678881597,0.36408837803431443,56,24,0.8336870984111316,-0.03091509783526125,0.0179709522787318,0.581300191074745
8,SMA_N150_th2_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.20480553979393235,0.6844221404978712,0.6668866999002591,0.3071069490882986,0.9372526460009674,0.37744400740569994,42,10,0.841922947153962,-0.09267980728450231,-0.11392947836299738,-1.2292804840785247
8,SMA_N150_th2_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.19761468087738,0.665369779207835,0.6668866999002591,0.29632421955174043,0.9068376300840065,0.3821677777432259,44,11,0.8595472309020424,-0.09987066620105467,-0.11392947836299738,-1.1407701850475316
9,SMA_N200_th0_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.17759266434673093,0.7640757418007543,0.3919727663381146,0.4530739877819471,1.0473342416403517,0.2577345337816826,78,11,0.8692202842544607,-0.03944932534851531,0.035195915073746864,0.8921804051858514
9,SMA_N200_th0_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.16392707400424955,0.7126879682957231,0.3919727663381146,0.4182103658264016,0.977152734823083,0.2612342336750633,80,14,0.8770328126315332,-0.05311491569099669,0.035195915073746864,0.6626371258594088
9,SMA_N200_th0_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.19309127755286415,0.8021911269687746,0.357837643548676,0.53960582692748,1.1055548152059773,0.26374383471048085,80,4,0.8942033997279157,-0.02395071214238209,0.06933103786318551,2.8947380541767047
9,SMA_N200_th0_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.20823300439744585,0.8281813395022879,0.3558694082992883,0.5851388164905724,1.1433494327274698,0.27416170895837944,74,4,0.9194039762583944,-0.008808985297800387,0.07129927311257317,8.093925770358213
10,EMA_N150_th2_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.18878479663347347,0.7992818185094409,0.41234471401849404,0.4578324644777823,1.1007645078754023,0.25843095984421705,44,9,0.8762039210380831,-0.0268732498299602,0.022986203931223748,0.855356314426739
10,EMA_N150_th2_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.17037643788451673,0.731560131919198,0.42039088379981776,0.40528100025510255,1.0017493493205925,0.26253379040877434,50,13,0.8752051453349978,-0.04528160857891694,0.014940034149900028,0.3299360296324828
10,EMA_N150_th2_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.18718479952840283,0.786393460949466,0.4353309179497178,0.42998278277589125,1.0855874360020408,0.26219328270827225,42,3,0.8970489093297219,-0.028473246935030838,0.0,0.0
10,EMA_N150_th2_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.18200047353888849,0.7501013808010958,0.4353309179497178,0.4180738514876404,1.0307405860485757,0.27300286220811576,42,4,0.9132006231828239,-0.03365757292454519,0.0,0.0
11,SMA_N200_th0_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.2422172088677672,0.7878365675008061,0.5256017137708477,0.4608379358773728,1.087857167807295,0.3570300507619638,83,23,0.8058208138294757,-0.05362331532242259,0.04399742688179398,0.8204906134066733
11,SMA_N200_th0_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.247070596028105,0.7881484801952889,0.5256017137708477,0.4700718996053788,1.085195005802723,0.36621055621704346,85,24,0.8270845971401072,-0.04876992816208481,0.04399742688179398,0.9021425402877441
