rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
57,EMA_N100_th0_bL1_sL0,EMA,100,0.0,1.0,0.0,QQQ,0.10366854960537841,0.7542999868239744,0.19289493089399243,0.5374353235977498,1.0413146738180994,0.14468600324235922,179,0.07857395215877583,0.5800350544230651,0.21680038958674994,0.3624253273185907,0.7777023102613558,0.1498711524023189,179,0.025094597446602585,0.8447916666666668,True,False,False,True,True,False,True,4
58,SMA_N100_th0_bL3_sL0,SMA,100,0.0,3.0,0.0,TQQQ,0.1992318068564256,0.6457523066048673,0.5939777887141685,0.33541962450770885,0.8811167542075866,0.4193579966646196,179,0.1421581944510224,0.528188672951918,0.6505376590857004,0.21852415838741596,0.7074226332931145,0.42912417905587147,179,0.05707361240540321,0.8390625,True,False,False,True,True,False,False,3
59,SMA_N100_th2_bL1_sL0,SMA,100,0.02,1.0,0.0,QQQ,0.10220381948479096,0.7467655828915751,0.21755428603285312,0.4697853641428928,1.0197371666497759,0.14430882532122338,51,0.0828659397505429,0.6099913899196832,0.21912382554693938,0.3781694644281932,0.8129446203374839,0.14876203230396118,51,0.019337879734248054,0.8385416666666667,True,False,False,True,True,True,True,5
60,SMA_N150_th2_bL3_sL-1,SMA,150,0.02,3.0,-1.0,TQQQ,0.2128694074004014,0.6502892444920114,0.6516174394976236,0.32667849952652733,0.8950261030290875,0.4652746007397732,36,0.1697538617849199,0.5719113957866865,0.6733696197231337,0.252096110089904,0.7771511202542272,0.47233177100626866,36,0.043115545615481476,0.8354166666666667,True,False,False,True,True,True,False,4
61,EMA_N200_th2_bL3_sL-1,EMA,200,0.02,3.0,-1.0,TQQQ,0.21410024807288552,0.6490321214476035,0.6570570036681738,0.3258472961670312,0.8944424941325849,0.4742629780499292,34,0.1764078143213632,0.5822845571307286,0.6956620320959787,0.2535826395323882,0.7906676928399676,0.48253168119629347,34,0.037692433751522314,0.8328125000000001,True,False,False,True,True,False,False,3
62,EMA_N200_th10_bL3_sL0,EMA,200,0.1,3.0,0.0,TQQQ,0.24498447054801553,0.6928835037475274,0.7096437782468329,0.3452217549955091,0.9459032382671,0.49975834400129654,8,0.2239873560787886,0.6583483072263269,0.7494449783522819,0.29887098125768186,0.8930841634926037,0.5035729570101057,8,0.02099711446922692,0.8322916666666668,True,False,False,True,True,False,False,3
63,SMA_N200_th0_bL3_sL-1,SMA,200,0.0,3.0,-1.0,TQQQ,0.2221368326033173,0.6646244488458554,0.6884013722722095,0.3226850519924288,0.9144001523644282,0.4703219472278338,86,0.17868740736831068,0.586975956625392,0.7282436771914931,0.24536760560342563,0.7962480365228894,0.4782237322524475,86,0.04344942523500661,0.8317708333333333,True,False,False,True,True,False,False,3
64,SMA_N100_th0_bL2_sL0,SMA,100,0.0,2.0,0.0,QLD,0.14595454090715565,0.6258566399141418,0.4402974091480116,0.3314908011600204,0.8527206321710417,0.2815680554537986,179,0.10472452405124688,0.4905850679553468,0.5005286748925583,0.20922782111080185,0.6538075486395287,0.28947440766014865,179,0.04123001685590877,0.8276041666666667,True,False,False,True,True,False,True,4
65,EMA_N150_th5_bL2_sL-1,EMA,150,0.05,2.0,-1.0,QLD,0.16751440461073197,0.6336042567396366,0.5503460433415636,0.30438013798305225,0.8717609535222627,0.3322541808189242,16,0.13923631945266468,0.555911839995245,0.5935107896075645,0.23459778978024842,0.7508041089153716,0.3396311634401016,16,0.02827808515806729,0.8255208333333334,True,False,False,True,True,False,True,4
66,SMA_N50_th0_bL2_sL0,SMA,50,0.0,2.0,0.0,QLD,0.13659803939288961,0.6155077531523678,0.39611192385243277,0.34484707772588474,0.8479916827822775,0.26581691672710406,254,0.08971543169511942,0.4522545901499941,0.45992704099677906,0.19506448566425497,0.6086351835999191,0.2734072001589585,254,0.046882607697770196,0.8239583333333333,True,False,False,True,True,False,True,4
67,EMA_N150_th0_bL2_sL-1,EMA,150,0.0,2.0,-1.0,QLD,0.16135900837629324,0.6197435001638427,0.5496687276926918,0.29355682840757436,0.8558420447628229,0.32970186159611187,114,0.1185779905504476,0.5027251213840915,0.5825342510927165,0.20355539666211772,0.6811719976294457,0.33714669437940986,114,0.042781017825845646,0.815625,True,False,False,True,True,False,True,4
