portfolio,name,category,window,cagr,vol,sharpe,mdd,worst_12m,terminal_10k,n_months
P8_max_cagr,Max CAGR candidate,max_cagr,real_2020_2026,0.19208580671189157,0.3159151519749586,0.519077613792803,-0.4399408906460822,-0.40138192346789636,29986.23791292139,75
P8_max_cagr,Max CAGR candidate,max_cagr,syn_2006_2026,0.11387490742060447,0.2530783122238639,0.3838934248782313,-0.7258014068761538,-0.6555621587109397,88010.49866328895,242
P8_max_cagr,Max CAGR candidate,max_cagr,syn_long_1926,0.09888275740635444,0.2833487738463625,0.23789613338494453,-0.9385896507171687,-0.808149623073956,120638363.81921445,1196
P9_max_sharpe,Max Sharpe candidate,max_sharpe,real_2020_2026,0.10074930964848128,0.12257559048707085,0.592679063556335,-0.1852545075980593,-0.14832870032313128,18220.178861471824,75
P9_max_sharpe,Max Sharpe candidate,max_sharpe,syn_2006_2026,0.09035681228385806,0.13197161577474367,0.5579760804850847,-0.4143029204583076,-0.3678953811597584,57231.38631764805,242
P9_max_sharpe,Max Sharpe candidate,max_sharpe,syn_long_1926,0.043329803863205285,0.07852259330282803,0.15097086909174506,-0.41430292045830774,-0.3678953811597584,685521.1020323227,1196
P10_terminal_mdd50,Max terminal wealth / MDD ≤ 50%,constrained,real_2020_2026,0.09675466745767203,0.14397740363219738,0.4768341577357067,-0.22831413807048961,-0.19359442021852535,17810.836653637067,75
P10_terminal_mdd50,Max terminal wealth / MDD ≤ 50%,constrained,syn_2006_2026,0.08569258402731039,0.14036840073565568,0.49136968354165533,-0.4489728822944633,-0.3918028139953099,52491.45025729214,242
P10_terminal_mdd50,Max terminal wealth / MDD ≤ 50%,constrained,syn_long_1926,0.05165627579448717,0.09416731056647813,0.21431105937023098,-0.46728297824991516,-0.3918028139953099,1513876.7236825535,1196
P11_max_swr,Max SWR (retirement phase),retirement,real_2020_2026,0.07316506185742533,0.08880503457584593,0.5074457614809927,-0.13835787490265103,-0.11561380360506801,15547.686782031737,75
P11_max_swr,Max SWR (retirement phase),retirement,syn_2006_2026,0.07880734500154096,0.10125490767052776,0.6131805267650228,-0.28969556110415157,-0.2654078053283283,46170.921484799386,242
P11_max_swr,Max SWR (retirement phase),retirement,syn_long_1926,0.04091048399498565,0.06830305467166582,0.13813883334210528,-0.3783726605721456,-0.2654078053283283,543918.4793511524,1196
